Entry #,Core,BA,ROI #,Accuracy,DAN,DMN,FPCN,Limbic,SM,Uncertain,VAN,Visual
1,L SOG,18,148,62.55,9%,23%,14%,4%,17%,7%,10%,16%
2,R MTG,21,118,62.8,9%,23%,14%,4%,17%,7%,10%,16%
3,L PP,41,72,61.35,9%,23%,14%,4%,17%,7%,10%,16%
4,R TTG,13,60,66.8,9%,23%,14%,4%,17%,7%,10%,16%
5,L PrG,6,34,66.65,9%,23%,14%,4%,17%,7%,10%,16%
6,R PT,41,62,60.9,9%,23%,14%,4%,17%,7%,10%,16%
7,R FuG,20,246,60.95,9%,23%,14%,4%,17%,7%,10%,16%
8,L FuG,20,247,62.25,9%,23%,14%,4%,17%,7%,10%,16%
9,L Putamen,34,226,66.7,9%,23%,14%,4%,17%,7%,10%,16%
10,R AIns,47,210,60.65,9%,23%,14%,4%,17%,7%,10%,16%
11,R MFG,9,195,64.65,9%,23%,14%,4%,17%,7%,10%,16%
12,L MCgG,32,58,62.15,9%,23%,14%,4%,17%,7%,10%,16%
13,R AIns,13,208,60.4,9%,23%,14%,4%,17%,7%,10%,16%
14,R SFG,6,120,60.35,9%,23%,14%,4%,17%,7%,10%,16%
